model,scenario,category,netzero_co2_year,cum_co2_gt,cum_co2e_gt,ratio
AIM/CGE 2.0,SSP4-26,C3,2083.0,1077.53,1544.49,1.4334
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4,2056.3,737.36,1176.43,1.5955
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3,2063.1,610.67,930.32,1.5235
AIM/CGE 2.2,EN_INDCi2030_1000f,C3,2066.3,1114.79,1539.08,1.3806
AIM/CGE 2.2,EN_INDCi2030_1200,C4,2070.0,1143.42,1598.49,1.398
AIM/CGE 2.2,EN_INDCi2030_1200f,C4,2072.0,1270.41,1749.0,1.3767
AIM/CGE 2.2,EN_INDCi2030_1400,C4,2075.0,1347.24,1853.86,1.376
AIM/CGE 2.2,EN_INDCi2030_1400f,C4,2078.2,1457.35,1994.89,1.3688
AIM/CGE 2.2,EN_INDCi2030_800f,C3,2059.4,979.39,1343.15,1.3714
AIM/CGE 2.2,EN_INDCi2030_900f,C3,2063.0,1041.22,1438.18,1.3812
AIM/CGE 2.2,EN_NPi2020_1000,C3,2070.0,933.76,1358.59,1.455
AIM/CGE 2.2,EN_NPi2020_1000f,C3,2073.4,1141.07,1604.17,1.4058
AIM/CGE 2.2,EN_NPi2020_1200,C3,2075.0,1116.2,1591.79,1.4261
AIM/CGE 2.2,EN_NPi2020_1200f,C4,2077.5,1278.85,1790.75,1.4003
AIM/CGE 2.2,EN_NPi2020_1400,C4,2080.0,1327.85,1857.71,1.399
AIM/CGE 2.2,EN_NPi2020_1400f,C4,2080.9,1395.4,1938.11,1.3889
AIM/CGE 2.2,EN_NPi2020_700,C3,2060.0,633.46,962.89,1.52
AIM/CGE 2.2,EN_NPi2020_700f,C3,2066.1,905.68,1299.86,1.4352
AIM/CGE 2.2,EN_NPi2020_800,C3,2060.0,726.82,1064.86,1.4651
AIM/CGE 2.2,EN_NPi2020_800f,C3,2068.7,983.83,1405.42,1.4285
AIM/CGE 2.2,EN_NPi2020_900,C3,2065.0,830.08,1210.77,1.4586
AIM/CGE 2.2,EN_NPi2020_900f,C3,2071.0,1061.54,1503.77,1.4166
AIM/Hub-Global 2.0,WB2C,C3,2078.1,907.86,1356.73,1.4944
COFFEE 1.1,CO_2Deg2020,C4,2065.7,993.23,1521.06,1.5314
COFFEE 1.1,CO_2Deg2030,C4,2065.4,1010.45,1530.42,1.5146
COFFEE 1.1,CO_Bridge,C3,2069.5,891.1,1450.66,1.6279
COFFEE 1.1,EN_INDCi2030_600f,C4,2065.2,1001.07,1499.54,1.4979
COFFEE 1.1,EN_INDCi2030_700f,C4,2066.9,1072.04,1593.48,1.4864
COFFEE 1.1,EN_INDCi2030_800f,C4,2068.7,1143.32,1688.92,1.4772
COFFEE 1.1,EN_INDCi2030_900f,C4,2070.9,1207.55,1772.23,1.4676
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,2059.3,738.14,1179.26,1.5976
COFFEE 1.1,EN_NPi2020_600f,C4,2065.7,993.23,1497.76,1.508
COFFEE 1.1,EN_NPi2020_700f,C4,2067.2,1067.6,1584.19,1.4839
COFFEE 1.1,EN_NPi2020_800f,C4,2068.8,1142.44,1682.68,1.4729
