model,scenario,category,netzero_co2_year,cum_co2_2020_2024_gt,cum_co2e_2020_2024_gt,ratio_2020_2024
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1,2044.8,170.088,227.865,1.3397
AIM/CGE 2.2,EN_NPi2020_300f,C1,2054.4,185.875,250.059,1.3453
AIM/CGE 2.2,EN_NPi2020_400f,C2,2057.8,185.875,250.059,1.3453
AIM/CGE 2.2,EN_NPi2020_500f,C2,2060.8,185.875,250.059,1.3453
AIM/CGE 2.2,EN_NPi2020_600,C1,2055.0,185.875,250.059,1.3453
AIM/CGE 2.2,EN_NPi2020_600f,C2,2063.5,185.968,250.168,1.3452
AIM/Hub-Global 2.0,1.5C,C1,2053.0,183.11,243.488,1.3297
C-ROADS-5.005,Ratchet-1.5-allCDR,C2,2054.0,190.953,257.25,1.3472
C-ROADS-5.005,Ratchet-1.5-limCDR,C2,2051.2,193.664,259.619,1.3406
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,C1,2036.5,173.571,235.032,1.3541
C-ROADS-5.005,Ratchet-1.5-noCDR,C1,2044.0,194.52,260.476,1.3391
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,C1,2037.1,171.21,232.009,1.3551
COFFEE 1.1,EN_INDCi2030_400f,C2,2061.1,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_500f,C2,2063.3,185.959,255.666,1.3748
COFFEE 1.1,EN_NPi2020_400,C1,,150.391,217.426,1.4457
COFFEE 1.1,EN_NPi2020_400f,C2,2062.3,176.641,243.871,1.3806
COFFEE 1.1,EN_NPi2020_500f,C2,2064.5,178.959,246.266,1.3761
GCAM 4.2,SSP1-19,C1,2058.4,165.452,238.272,1.4401
GCAM 5.3,NGFS2_Divergent Net Zero Policies,C2,2045.4,176.141,246.396,1.3989
GCAM 5.3,NGFS2_Net-Zero 2050,C2,2049.7,190.424,262.773,1.3799
GCAM 5.3,R_MAC_30_n0,C1,2030.0,148.078,207.688,1.4026
GCAM 5.3,R_MAC_35_n8,C1,2032.4,157.501,218.009,1.3842
GCAM 5.3,R_MAC_40_n8,C1,2036.6,167.212,228.461,1.3663
GCAM 5.3,R_MAC_45_n8,C1,2040.7,173.039,234.707,1.3564
GCAM 5.3,R_MAC_50_n8,C1,2044.9,176.924,238.93,1.3505
GCAM 5.3,R_MAC_55_n8,C2,2049.0,179.699,241.958,1.3465
GCAM 5.3,R_MAC_60_n8,C2,2053.1,181.78,244.233,1.3436
GCAM 5.3,SSP_SSP3,C2,2053.1,178.508,239.836,1.3436
GCAM 5.3,SSP_SSP4,C2,2053.1,178.508,239.963,1.3443
GEM-E3_V2021,EN_INDCi2030_600f,C2,2056.4,210.597,282.768,1.3427
GEM-E3_V2021,EN_INDCi2030_600f_COV,C2,2057.3,200.889,268.314,1.3356
GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp,C2,2057.5,198.085,264.928,1.3374
GEM-E3_V2021,EN_INDCi2030_600f_NDCp,C2,2056.9,208.992,280.668,1.343
GEM-E3_V2021,EN_INDCi2030_800f,C2,2064.7,210.597,282.768,1.3427
GEM-E3_V2021,EN_NPi2020_400f,C2,2054.6,191.663,258.953,1.3511
GEM-E3_V2021,EN_NPi2020_500,C1,2045.0,180.365,245.256,1.3598
GEM-E3_V2021,EN_NPi2020_500f,C2,2058.5,193.942,262.003,1.3509
GEM-E3_V2021,EN_NPi2020_600,C2,2055.0,185.979,252.167,1.3559
GEM-E3_V2021,EN_NPi2020_600_COV,C1,2064.6,177.959,240.035,1.3488
GEM-E3_V2021,EN_NPi2020_600f,C2,2061.5,195.777,264.201,1.3495
GEM-E3_V2021,EN_NPi2020_600f_COV,C2,2061.9,184.315,247.986,1.3454
IMAGE 3.0.1,CD-LINKS_NPi2020_400,C2,2050.2,168.192,234.002,1.3913
IMAGE 3.2,SSP1_SPA1_19I_D,C2,2051.4,201.129,273.01,1.3574
IMAGE 3.2,SSP1_SPA1_19I_D_LB,C1,2048.9,192.561,251.063,1.3038
IMAGE 3.2,SSP1_SPA1_19I_LI,C2,2048.3,197.666,268.569,1.3587
IMAGE 3.2,SSP1_SPA1_19I_LIRE,C2,2047.1,199.679,270.873,1.3565
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,C1,2042.6,192.746,250.665,1.3005
IMAGE 3.2,SSP1_SPA1_19I_RE,C2,2052.2,198.442,269.723,1.3592
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,C1,2047.6,192.899,251.358,1.3031
IMAGE 3.2,SSP2_SPA1_19I_D_LB,C1,2054.6,193.72,253.071,1.3064
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,C1,2046.2,191.589,249.943,1.3046
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,C1,2051.4,194.211,253.602,1.3058
IMAGE 3.2,SSP2_SPA2_19I_D,C2,2050.2,197.688,270.045,1.366
IMAGE 3.2,SSP2_SPA2_19I_LI,C1,2048.1,197.78,265.225,1.341
IMAGE 3.2,SSP2_SPA2_19I_LIRE,C2,2047.4,195.096,262.419,1.3451
IMAGE 3.2,SSP2_SPA2_19I_RE,C2,2046.9,193.717,265.675,1.3715
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster,C2,2062.3,198.341,257.708,1.2993
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_cost100,C1,2049.2,173.571,232.278,1.3382
MESSAGE-GLOBIOM 1.0,EMF33_1.5C_full,C1,2049.3,173.63,232.321,1.338
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,C2,2061.0,187.453,247.825,1.3221
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,C2,2060.7,187.731,248.076,1.3214
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,C2,2058.5,182.22,241.731,1.3266
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,C2,2061.5,186.643,246.939,1.3231
MESSAGE-GLOBIOM 1.0,SSP2-19,C1,2057.1,183.034,243.306,1.3293
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000,C2,2062.0,199.396,263.01,1.319
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,C2,2064.3,189.397,250.551,1.3229
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_400,C1,2052.8,178.337,238.467,1.3372
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,2058.8,179.244,239.331,1.3352
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,C2,2061.9,206.806,270.443,1.3077
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,C2,2062.3,204.674,267.948,1.3091
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,C2,2063.4,219.338,284.979,1.2993
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,C2,2064.6,206.806,270.443,1.3077
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,C2,2065.2,204.674,267.948,1.3091
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,C2,2063.6,218.561,283.803,1.2985
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,C2,2056.0,186.22,245.364,1.3176
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,C2,2058.8,188.926,248.392,1.3148
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,C2,2061.9,190.883,250.825,1.314
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,C1,2050.0,175.784,233.458,1.3281
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,C2,2063.1,191.74,251.995,1.3143
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,C1,2055.0,178.91,237.113,1.3253
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,C2,2064.3,193.021,253.315,1.3124
