model,scenario,category,netzero_co2_year,cum_co2_gt,cum_co2e_gt,ratio
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1,2044.8,451.65,640.69,1.4186
AIM/CGE 2.2,EN_NPi2020_300f,C1,2054.4,609.92,899.6,1.4749
AIM/CGE 2.2,EN_NPi2020_400f,C2,2057.8,679.72,998.72,1.4693
AIM/CGE 2.2,EN_NPi2020_500f,C2,2060.8,751.86,1097.08,1.4592
AIM/CGE 2.2,EN_NPi2020_600,C1,2055.0,546.99,835.13,1.5268
AIM/CGE 2.2,EN_NPi2020_600f,C2,2063.5,827.82,1198.18,1.4474
AIM/Hub-Global 2.0,1.5C,C1,2053.0,515.41,767.05,1.4882
C-ROADS-5.005,Ratchet-1.5-allCDR,C2,2054.0,721.36,1077.36,1.4935
C-ROADS-5.005,Ratchet-1.5-limCDR,C2,2051.2,622.13,929.18,1.4935
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,C1,2036.5,323.12,497.34,1.5392
C-ROADS-5.005,Ratchet-1.5-noCDR,C1,2044.0,468.41,714.79,1.526
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,C1,2037.1,308.3,486.64,1.5785
COFFEE 1.1,EN_INDCi2030_400f,C2,2061.1,882.57,1335.83,1.5136
COFFEE 1.1,EN_INDCi2030_500f,C2,2063.3,939.55,1411.46,1.5023
COFFEE 1.1,EN_NPi2020_400f,C2,2062.3,857.46,1307.25,1.5246
COFFEE 1.1,EN_NPi2020_500f,C2,2064.5,924.28,1392.15,1.5062
GCAM 4.2,SSP1-19,C1,2058.4,517.28,1337.36,2.5854
GCAM 5.3,NGFS2_Divergent Net Zero Policies,C2,2045.4,477.71,776.11,1.6246
GCAM 5.3,NGFS2_Net-Zero 2050,C2,2049.7,581.64,926.12,1.5923
GCAM 5.3,R_MAC_30_n0,C1,2030.0,196.35,309.5,1.5763
GCAM 5.3,R_MAC_35_n8,C1,2032.4,243.18,385.07,1.5835
GCAM 5.3,R_MAC_40_n8,C1,2036.6,323.14,513.57,1.5893
GCAM 5.3,R_MAC_45_n8,C1,2040.7,403.12,643.94,1.5974
GCAM 5.3,R_MAC_50_n8,C1,2044.9,483.08,774.59,1.6034
GCAM 5.3,R_MAC_55_n8,C2,2049.0,563.06,906.66,1.6102
GCAM 5.3,R_MAC_60_n8,C2,2053.1,643.03,1038.71,1.6153
GCAM 5.3,SSP_SSP3,C2,2053.1,639.76,1033.42,1.6153
GCAM 5.3,SSP_SSP4,C2,2053.1,639.86,1036.66,1.6201
GEM-E3_V2021,EN_INDCi2030_600f,C2,2056.4,789.14,1166.9,1.4787
GEM-E3_V2021,EN_INDCi2030_600f_COV,C2,2057.3,779.29,1147.26,1.4722
GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp,C2,2057.5,771.09,1140.05,1.4785
GEM-E3_V2021,EN_INDCi2030_600f_NDCp,C2,2056.9,788.71,1170.29,1.4838
GEM-E3_V2021,EN_INDCi2030_800f,C2,2064.7,896.37,1354.93,1.5116
GEM-E3_V2021,EN_NPi2020_400f,C2,2054.6,658.17,1009.44,1.5337
GEM-E3_V2021,EN_NPi2020_500,C1,2045.0,437.83,668.75,1.5274
GEM-E3_V2021,EN_NPi2020_500f,C2,2058.5,717.77,1110.65,1.5474
GEM-E3_V2021,EN_NPi2020_600,C2,2055.0,538.87,855.04,1.5867
GEM-E3_V2021,EN_NPi2020_600_COV,C1,2064.6,541.6,909.94,1.6801
GEM-E3_V2021,EN_NPi2020_600f,C2,2061.5,781.79,1210.99,1.549
GEM-E3_V2021,EN_NPi2020_600f_COV,C2,2061.9,734.42,1138.82,1.5506
IMAGE 3.0.1,CD-LINKS_NPi2020_400,C2,2050.2,501.39,802.74,1.601
IMAGE 3.2,SSP1_SPA1_19I_D,C2,2051.4,658.97,997.14,1.5132
IMAGE 3.2,SSP1_SPA1_19I_D_LB,C1,2048.9,515.71,766.17,1.4857
IMAGE 3.2,SSP1_SPA1_19I_LI,C2,2048.3,584.44,884.74,1.5138
IMAGE 3.2,SSP1_SPA1_19I_LIRE,C2,2047.1,583.1,879.78,1.5088
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,C1,2042.6,444.45,644.31,1.4497
IMAGE 3.2,SSP1_SPA1_19I_RE,C2,2052.2,649.43,989.87,1.5242
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,C1,2047.6,508.0,748.95,1.4743
IMAGE 3.2,SSP2_SPA1_19I_D_LB,C1,2054.6,590.39,908.88,1.5395
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,C1,2046.2,478.73,709.48,1.482
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,C1,2051.4,570.97,862.41,1.5104
