model,scenario,category,netzero_co2_year,cum_co2_2020_2024_gt,cum_co2e_2020_2024_gt,ratio_2020_2024
AIM/CGE 2.0,SSP1-26,C3,,176.668,236.973,1.3413
AIM/CGE 2.0,SSP4-26,C3,2083.0,211.777,275.915,1.3029
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4,2056.3,192.473,264.988,1.3768
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3,2063.1,175.707,234.997,1.3374
AIM/CGE 2.1,CO_Bridge,C3,,184.76,247.287,1.3384
AIM/CGE 2.2,EN_INDCi2030_1000f,C3,2066.3,210.214,281.366,1.3385
AIM/CGE 2.2,EN_INDCi2030_1200,C4,2070.0,210.214,281.366,1.3385
AIM/CGE 2.2,EN_INDCi2030_1200f,C4,2072.0,210.214,281.366,1.3385
AIM/CGE 2.2,EN_INDCi2030_1400,C4,2075.0,210.214,281.366,1.3385
AIM/CGE 2.2,EN_INDCi2030_1400f,C4,2078.2,210.214,281.366,1.3385
AIM/CGE 2.2,EN_INDCi2030_800f,C3,2059.4,210.214,281.366,1.3385
AIM/CGE 2.2,EN_INDCi2030_900f,C3,2063.0,210.214,281.366,1.3385
AIM/CGE 2.2,EN_NPi2020_1000,C3,2070.0,186.709,251.043,1.3446
AIM/CGE 2.2,EN_NPi2020_1000f,C3,2073.4,189.453,254.298,1.3423
AIM/CGE 2.2,EN_NPi2020_1200,C3,2075.0,189.019,253.781,1.3426
AIM/CGE 2.2,EN_NPi2020_1200f,C4,2077.5,191.528,256.768,1.3406
AIM/CGE 2.2,EN_NPi2020_1400,C4,2080.0,192.193,257.453,1.3396
AIM/CGE 2.2,EN_NPi2020_1400f,C4,2080.9,193.217,258.681,1.3388
AIM/CGE 2.2,EN_NPi2020_700,C3,2060.0,185.875,250.059,1.3453
AIM/CGE 2.2,EN_NPi2020_700f,C3,2066.1,186.524,250.824,1.3447
AIM/CGE 2.2,EN_NPi2020_800,C3,2060.0,185.875,250.059,1.3453
AIM/CGE 2.2,EN_NPi2020_800f,C3,2068.7,187.338,251.782,1.344
AIM/CGE 2.2,EN_NPi2020_900,C3,2065.0,185.968,250.168,1.3452
AIM/CGE 2.2,EN_NPi2020_900f,C3,2071.0,188.375,253.017,1.3432
AIM/Hub-Global 2.0,WB2C,C3,2078.1,188.897,250.103,1.324
COFFEE 1.1,CO_2Deg2020,C4,2065.7,180.544,250.215,1.3859
COFFEE 1.1,CO_2Deg2030,C4,2065.4,185.959,256.127,1.3773
COFFEE 1.1,CO_Bridge,C3,2069.5,165.805,235.257,1.4189
COFFEE 1.1,EN_INDCi2030_1000,C4,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_1000_NDCp,C4,,183.776,249.364,1.3569
COFFEE 1.1,EN_INDCi2030_1200,C4,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_500,C3,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_600,C3,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_600_NDCp,C3,,183.776,249.364,1.3569
COFFEE 1.1,EN_INDCi2030_600f,C4,2065.2,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_700,C3,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_700f,C4,2066.9,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_800,C3,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_800f,C4,2068.7,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_900,C3,,185.959,255.666,1.3748
COFFEE 1.1,EN_INDCi2030_900f,C4,2070.9,185.959,255.666,1.3748
COFFEE 1.1,EN_NPi2020_1000,C4,,179.075,248.27,1.3864
COFFEE 1.1,EN_NPi2020_1200,C4,,182.02,251.263,1.3804
COFFEE 1.1,EN_NPi2020_400_lowBECCS,C3,,147.789,215.201,1.4561
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,2059.3,170.88,238.269,1.3944
COFFEE 1.1,EN_NPi2020_500,C3,,159.183,226.125,1.4205
COFFEE 1.1,EN_NPi2020_600,C3,,165.157,234.018,1.4169
COFFEE 1.1,EN_NPi2020_600f,C4,2065.7,180.544,249.759,1.3834
COFFEE 1.1,EN_NPi2020_700,C3,,167.876,236.765,1.4104
COFFEE 1.1,EN_NPi2020_700f,C4,2067.2,181.583,250.807,1.3812
COFFEE 1.1,EN_NPi2020_800,C3,,171.692,240.606,1.4014
COFFEE 1.1,EN_NPi2020_800f,C4,2068.8,182.253,251.497,1.3799
COFFEE 1.1,EN_NPi2020_900,C3,,175.937,245.002,1.3926
COFFEE 1.1,EN_NPi2020_900f,C4,2070.7,184.414,253.724,1.3758
