model,scenario,region,variable,unit,year,value
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2005,33702.0617
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2010,37208.8436
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2015,38909.644
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2020,39302.4665
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2025,34727.7942
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2030,31686.3434
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2035,26219.024
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2040,20176.6294
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2045,15333.3662
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2050,11521.3827
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2055,8508.1999
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2060,6081.3472
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2070,3001.2196
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2080,1514.8906
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2090,655.5869
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|CO2,Mt CO2/yr,2100,-251.4948
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2005,46144.6604
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2010,50781.0
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2015,53822.6196
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,54302.341
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,47386.9655
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,43551.7629
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,37274.7273
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,30451.9168
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,24888.2178
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,20488.6002
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,17467.7799
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,14986.1818
REMIND 2.1,R2p1_SSP2-PkBudg1300,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,11800.5777
